# number of photons to be run per band/weight
# (AVHRR, Kratz, solar);
  1   1  0.0120481927710843
  1   2  0.0120481927710843
  2   1  0.0120481927710843
  2   2  0.0120481927710843
  2   3  0.0120481927710843
  3   1  0.0120481927710843
  4   1  0.0120481927710843
  4   2  0.0120481927710843
  4   3  0.0120481927710843
  4   4  0.0120481927710843
  4   5  0.0120481927710843
  4   6  0.0120481927710843
  4   7  0.0120481927710843
  4   8  0.0120481927710843
  4   9  0.0120481927710843
  5   1  0.0120481927710843
  5   2  0.0120481927710843
  5   3  0.0120481927710843
  5   4  0.0120481927710843
  5   5  0.0120481927710843
  5   6  0.0120481927710843
  5   7  0.0120481927710843
  5   8  0.0120481927710843
  5   9  0.0120481927710843
  5  10  0.0120481927710843
  5  11  0.0120481927710843
  5  12  0.0120481927710843
  6   1  0.0120481927710843
  6   2  0.0120481927710843
  6   3  0.0120481927710843
  6   4  0.0120481927710843
  6   5  0.0120481927710843
  7   1  0.0120481927710843
  7   2  0.0120481927710843
  7   3  0.0120481927710843
  7   4  0.0120481927710843
  7   5  0.0120481927710843
  7   6  0.0120481927710843
  8   1  0.0120481927710843
  8   2  0.0120481927710843
  8   3  0.0120481927710843
  8   4  0.0120481927710843
  8   5  0.0120481927710843
  9   1  0.0120481927710843
  9   2  0.0120481927710843
  9   3  0.0120481927710843
  9   4  0.0120481927710843
 10   1  0.0120481927710843
 10   2  0.0120481927710843
 10   3  0.0120481927710843
 10   4  0.0120481927710843
 11   1  0.0120481927710843
 11   2  0.0120481927710843
 11   3  0.0120481927710843
 11   4  0.0120481927710843
 12   1  0.0120481927710843
 12   2  0.0120481927710843
 12   3  0.0120481927710843
 12   4  0.0120481927710843
 13   1  0.0120481927710843
 13   2  0.0120481927710843
 13   3  0.0120481927710843
 13   4  0.0120481927710843
 13   5  0.0120481927710843
 13   6  0.0120481927710843
 13   7  0.0120481927710843
 13   8  0.0120481927710843
 13   9  0.0120481927710843
 13  10  0.0120481927710843
 13  11  0.0120481927710843
 13  12  0.0120481927710843
 14   1  0.0120481927710843
 14   2  0.0120481927710843
 14   3  0.0120481927710843
 14   4  0.0120481927710843
 14   5  0.0120481927710843
 14   6  0.0120481927710843
 14   7  0.0120481927710843
 14   8  0.0120481927710843
 14   9  0.0120481927710843
 14  10  0.0120481927710843
 14  11  0.0120481927710843
 14  12  0.0120481927710843
 15   1  0.000e+00
 15   2  0.000e+00
 15   3  0.000e+00
 15   4  0.000e+00
 15   5  0.000e+00
 15   6  0.000e+00
 15   7  0.000e+00
 15   8  0.000e+00
 15   9  0.000e+00
 15  10  0.000e+00
 15  11  0.000e+00
 15  12  0.000e+00
 15  13  0.000e+00
 15  14  0.000e+00
 15  15  0.000e+00
 15  16  0.000e+00
 15  17  0.000e+00
 15  18  0.000e+00
 15  19  0.000e+00
 15  20  0.000e+00
 16   1  0.000e+00
 16   2  0.000e+00
 16   3  0.000e+00
 16   4  0.000e+00
 16   5  0.000e+00
 16   6  0.000e+00
 16   7  0.000e+00
 16   8  0.000e+00
 16   9  0.000e+00
 16  10  0.000e+00
